BookingID,Date,TimeSlot,ServiceType,EmployeeID,CustomerID,Duration,DayOfWeek,IsHolidayOrEvent,Season,IsWeekend,BookingStatus,EmployeeAvailability,FestivalImpact,CustomerType
BKG_48,2023-05-05,Evening,Standard Cleaning,Emp_9,CUST_48,3,Sunday,1,Summer,1,Cancelled,0,0,One-time
BKG_49,2023-10-24,Evening,Post-Event Cleaning,Emp_3,CUST_49,2,Sunday,0,Summer,0,Confirmed,0,0,Recurring
BKG_50,2023-03-20,Morning,Post-Event Cleaning,Emp_9,CUST_50,2,Tuesday,1,Summer,0,Confirmed,0,0,One-time
BKG_51,2023-11-09,Morning,Deep Cleaning,Emp_14,CUST_51,3,Sunday,1,Winter,0,Confirmed,1,0,One-time
BKG_52,2023-01-20,Evening,Move-in/Move-out Cleaning,Emp_17,CUST_52,2,Wednesday,1,Spring,0,Confirmed,0,0,Recurring
BKG_53,2023-03-20,Evening,Standard Cleaning,Emp_19,CUST_53,3,Wednesday,1,Summer,1,Cancelled,0,0,One-time
BKG_54,2023-10-05,Afternoon,Post-Event Cleaning,Emp_14,CUST_54,4,Wednesday,0,Summer,0,Confirmed,0,0,One-time
BKG_55,2023-07-15,Evening,Post-Event Cleaning,Emp_6,CUST_55,3,Tuesday,0,Fall,1,Confirmed,1,0,Recurring
BKG_56,2023-09-20,Afternoon,Post-Event Cleaning,Emp_11,CUST_56,4,Wednesday,0,Spring,1,Cancelled,0,0,Recurring
BKG_57,2023-08-17,Morning,Deep Cleaning,Emp_16,CUST_57,4,Sunday,0,Spring,0,Cancelled,0,0,One-time
BKG_58,2023-01-06,Morning,Standard Cleaning,Emp_4,CUST_58,1,Sunday,0,Summer,1,Cancelled,0,0,One-time
BKG_59,2023-07-19,Afternoon,Standard Cleaning,Emp_8,CUST_59,3,Saturday,1,Fall,0,Cancelled,1,0,One-time
BKG_60,2023-06-30,Evening,Post-Event Cleaning,Emp_5,CUST_60,1,Friday,1,Winter,0,Cancelled,1,0,Recurring
BKG_61,2023-07-25,Morning,Deep Cleaning,Emp_3,CUST_61,3,Tuesday,1,Winter,0,Cancelled,0,0,One-time
BKG_62,2023-06-25,Morning,Standard Cleaning,Emp_2,CUST_62,3,Sunday,0,Fall,1,Confirmed,1,0,One-time
BKG_63,2023-03-22,Afternoon,Standard Cleaning,Emp_4,CUST_63,1,Monday,1,Summer,0,Confirmed,0,0,One-time
BKG_64,2023-11-20,Afternoon,Post-Event Cleaning,Emp_11,CUST_64,1,Tuesday,0,Fall,0,Confirmed,1,0,Recurring
BKG_65,2023-03-01,Afternoon,Deep Cleaning,Emp_20,CUST_65,3,Wednesday,1,Winter,1,Cancelled,0,0,One-time
BKG_66,2023-11-03,Evening,Standard Cleaning,Emp_12,CUST_66,2,Friday,0,Spring,0,Confirmed,1,0,One-time
BKG_67,2023-10-02,Evening,Standard Cleaning,Emp_11,CUST_67,4,Friday,0,Winter,1,Cancelled,0,0,Recurring
BKG_68,2023-04-05,Afternoon,Standard Cleaning,Emp_6,CUST_68,1,Thursday,1,Fall,0,Confirmed,1,0,Recurring
BKG_69,2023-07-02,Evening,Post-Event Cleaning,Emp_15,CUST_69,4,Monday,1,Summer,0,Confirmed,1,0,Recurring
BKG_70,2023-07-17,Morning,Move-in/Move-out Cleaning,Emp_5,CUST_70,2,Monday,1,Spring,0,Cancelled,0,0,One-time
BKG_71,2023-03-15,Evening,Standard Cleaning,Emp_4,CUST_71,2,Saturday,0,Summer,0,Confirmed,1,0,Recurring
BKG_72,2023-04-24,Afternoon,Post-Event Cleaning,Emp_4,CUST_72,2,Thursday,0,Spring,1,Cancelled,0,0,One-time
BKG_73,2023-06-10,Afternoon,Deep Cleaning,Emp_1,CUST_73,1,Wednesday,0,Spring,0,Confirmed,0,0,One-time
BKG_74,2023-10-07,Evening,Deep Cleaning,Emp_7,CUST_74,2,Saturday,0,Fall,0,Confirmed,0,0,Recurring
BKG_75,2023-06-08,Morning,Post-Event Cleaning,Emp_17,CUST_75,1,Saturday,1,Fall,1,Confirmed,1,0,Recurring
BKG_76,2023-07-12,Morning,Move-in/Move-out Cleaning,Emp_15,CUST_76,2,Tuesday,0,Winter,0,Confirmed,0,0,Recurring
BKG_77,2023-09-06,Morning,Deep Cleaning,Emp_10,CUST_77,4,Saturday,0,Winter,0,Confirmed,1,0,Recurring
BKG_78,2023-04-19,Afternoon,Post-Event Cleaning,Emp_11,CUST_78,4,Saturday,0,Fall,0,Confirmed,1,0,One-time
BKG_79,2023-12-29,Evening,Deep Cleaning,Emp_20,CUST_79,3,Saturday,0,Winter,0,Confirmed,0,0,Recurring
BKG_80,2023-07-13,Morning,Deep Cleaning,Emp_17,CUST_80,4,Wednesday,0,Fall,1,Cancelled,1,0,Recurring
BKG_81,2023-05-15,Morning,Deep Cleaning,Emp_9,CUST_81,3,Sunday,0,Spring,1,Confirmed,1,0,Recurring
BKG_82,2023-03-10,Morning,Post-Event Cleaning,Emp_11,CUST_82,4,Tuesday,0,Summer,0,Confirmed,0,0,One-time
BKG_83,2023-06-11,Morning,Standard Cleaning,Emp_12,CUST_83,1,Wednesday,1,Fall,0,Cancelled,0,0,One-time
BKG_84,2023-03-09,Morning,Post-Event Cleaning,Emp_11,CUST_84,4,Wednesday,0,Winter,0,Cancelled,1,0,Recurring
BKG_85,2023-07-02,Morning,Deep Cleaning,Emp_17,CUST_85,3,Wednesday,1,Summer,0,Cancelled,0,0,One-time
BKG_86,2023-11-27,Afternoon,Deep Cleaning,Emp_15,CUST_86,3,Thursday,0,Spring,0,Confirmed,0,0,Recurring
BKG_87,2023-03-18,Evening,Standard Cleaning,Emp_9,CUST_87,2,Monday,1,Winter,0,Confirmed,0,0,One-time
BKG_88,2023-02-19,Evening,Post-Event Cleaning,Emp_10,CUST_88,1,Thursday,1,Winter,0,Cancelled,1,0,One-time
BKG_89,2023-10-19,Morning,Deep Cleaning,Emp_19,CUST_89,4,Thursday,0,Summer,0,Confirmed,1,0,Recurring
BKG_90,2023-11-17,Morning,Standard Cleaning,Emp_3,CUST_90,2,Monday,1,Spring,0,Cancelled,1,0,Recurring
BKG_91,2023-03-12,Morning,Post-Event Cleaning,Emp_19,CUST_91,4,Wednesday,1,Fall,0,Confirmed,1,0,One-time
BKG_92,2023-11-25,Morning,Move-in/Move-out Cleaning,Emp_8,CUST_92,4,Tuesday,0,Winter,0,Confirmed,0,0,One-time
BKG_93,2023-06-21,Afternoon,Move-in/Move-out Cleaning,Emp_18,CUST_93,2,Wednesday,1,Fall,0,Confirmed,1,0,Recurring
BKG_94,2023-04-08,Evening,Post-Event Cleaning,Emp_4,CUST_94,2,Wednesday,0,Winter,0,Cancelled,0,0,One-time
BKG_95,2023-10-03,Afternoon,Standard Cleaning,Emp_20,CUST_95,2,Thursday,1,Spring,0,Cancelled,1,0,One-time
BKG_96,2023-07-23,Afternoon,Deep Cleaning,Emp_11,CUST_96,2,Wednesday,1,Fall,0,Confirmed,1,0,One-time
BKG_97,2023-11-14,Evening,Deep Cleaning,Emp_2,CUST_97,2,Tuesday,1,Spring,0,Cancelled,1,0,One-time
BKG_98,2023-06-19,Morning,Deep Cleaning,Emp_3,CUST_98,4,Sunday,1,Winter,1,Confirmed,0,0,Recurring
BKG_99,2023-02-20,Morning,Move-in/Move-out Cleaning,Emp_5,CUST_99,2,Monday,0,Spring,0,Cancelled,0,0,Recurring
BKG_100,2023-02-14,Morning,Standard Cleaning,Emp_1,CUST_100,1,Sunday,0,Spring,0,Cancelled,0,0,Recurring
BKG_101,2023-01-26,Afternoon,Move-in/Move-out Cleaning,Emp_6,CUST_101,3,Sunday,0,Fall,1,Confirmed,0,0,One-time
BKG_102,2023-07-27,Morning,Move-in/Move-out Cleaning,Emp_11,CUST_102,2,Wednesday,0,Fall,1,Cancelled,1,0,Recurring
BKG_103,2023-08-27,Evening,Standard Cleaning,Emp_11,CUST_103,2,Monday,0,Fall,0,Cancelled,0,0,Recurring
BKG_104,2023-02-25,Morning,Move-in/Move-out Cleaning,Emp_1,CUST_104,4,Friday,1,Fall,0,Cancelled,0,0,Recurring
BKG_105,2023-08-17,Morning,Deep Cleaning,Emp_11,CUST_105,2,Thursday,0,Summer,0,Cancelled,0,0,One-time
BKG_106,2023-11-16,Evening,Deep Cleaning,Emp_18,CUST_106,2,Wednesday,0,Summer,0,Confirmed,1,0,Recurring
BKG_107,2023-08-28,Morning,Standard Cleaning,Emp_10,CUST_107,2,Thursday,0,Spring,0,Cancelled,0,0,One-time
BKG_108,2023-02-08,Afternoon,Standard Cleaning,Emp_15,CUST_108,4,Wednesday,1,Summer,0,Confirmed,1,0,Recurring
BKG_109,2023-02-02,Evening,Move-in/Move-out Cleaning,Emp_9,CUST_109,2,Sunday,0,Spring,0,Cancelled,1,0,One-time
BKG_110,2023-01-26,Morning,Move-in/Move-out Cleaning,Emp_1,CUST_110,3,Saturday,1,Winter,0,Cancelled,0,0,One-time
BKG_111,2023-08-14,Afternoon,Post-Event Cleaning,Emp_6,CUST_111,4,Thursday,1,Summer,1,Cancelled,1,0,Recurring
BKG_112,2023-06-29,Afternoon,Post-Event Cleaning,Emp_6,CUST_112,3,Wednesday,1,Winter,0,Confirmed,0,0,One-time
BKG_113,2023-02-12,Afternoon,Standard Cleaning,Emp_18,CUST_113,4,Tuesday,0,Winter,1,Cancelled,0,0,Recurring
BKG_114,2023-12-22,Evening,Move-in/Move-out Cleaning,Emp_19,CUST_114,2,Tuesday,1,Summer,0,Cancelled,1,0,One-time
BKG_115,2023-08-04,Morning,Standard Cleaning,Emp_17,CUST_115,3,Saturday,0,Winter,0,Cancelled,0,0,One-time
BKG_116,2023-01-04,Afternoon,Deep Cleaning,Emp_15,CUST_116,4,Thursday,0,Winter,0,Cancelled,0,0,Recurring
BKG_117,2023-12-07,Evening,Post-Event Cleaning,Emp_12,CUST_117,1,Saturday,0,Fall,0,Confirmed,0,0,Recurring
BKG_118,2023-05-01,Afternoon,Standard Cleaning,Emp_16,CUST_118,2,Monday,1,Winter,1,Confirmed,1,0,Recurring
BKG_119,2023-06-10,Evening,Standard Cleaning,Emp_4,CUST_119,4,Friday,1,Spring,1,Confirmed,0,0,Recurring
BKG_120,2023-01-27,Morning,Move-in/Move-out Cleaning,Emp_14,CUST_120,1,Monday,0,Summer,0,Cancelled,1,0,One-time
BKG_121,2023-05-15,Morning,Deep Cleaning,Emp_6,CUST_121,4,Saturday,1,Fall,0,Cancelled,1,0,Recurring
BKG_122,2023-12-18,Morning,Post-Event Cleaning,Emp_11,CUST_122,1,Tuesday,0,Winter,1,Cancelled,1,0,Recurring
BKG_123,2023-01-11,Morning,Standard Cleaning,Emp_16,CUST_123,2,Sunday,1,Fall,0,Confirmed,1,0,One-time
BKG_124,2023-09-15,Evening,Deep Cleaning,Emp_6,CUST_124,3,Monday,0,Winter,0,Confirmed,1,0,Recurring
BKG_125,2023-07-16,Morning,Post-Event Cleaning,Emp_11,CUST_125,1,Wednesday,1,Fall,0,Confirmed,0,0,Recurring
BKG_126,2023-10-03,Evening,Move-in/Move-out Cleaning,Emp_1,CUST_126,4,Tuesday,1,Spring,1,Confirmed,0,0,Recurring
BKG_127,2023-07-24,Afternoon,Post-Event Cleaning,Emp_8,CUST_127,2,Wednesday,0,Fall,0,Confirmed,1,0,Recurring
BKG_128,2023-02-11,Afternoon,Deep Cleaning,Emp_6,CUST_128,1,Saturday,0,Winter,1,Confirmed,1,0,One-time
BKG_129,2023-04-22,Afternoon,Standard Cleaning,Emp_7,CUST_129,4,Wednesday,0,Summer,1,Confirmed,1,0,One-time
BKG_130,2023-07-26,Afternoon,Move-in/Move-out Cleaning,Emp_19,CUST_130,4,Wednesday,1,Summer,0,Cancelled,1,0,Recurring
BKG_131,2023-02-07,Evening,Post-Event Cleaning,Emp_10,CUST_131,4,Friday,1,Winter,1,Cancelled,1,0,Recurring
BKG_132,2023-01-12,Afternoon,Deep Cleaning,Emp_8,CUST_132,1,Sunday,0,Summer,0,Cancelled,1,0,Recurring
BKG_133,2023-08-05,Afternoon,Post-Event Cleaning,Emp_4,CUST_133,1,Thursday,0,Summer,0,Cancelled,0,0,One-time
BKG_134,2023-01-13,Afternoon,Move-in/Move-out Cleaning,Emp_6,CUST_134,1,Monday,0,Spring,0,Confirmed,1,0,One-time
BKG_135,2023-11-13,Afternoon,Standard Cleaning,Emp_11,CUST_135,3,Thursday,1,Spring,0,Confirmed,0,0,One-time
BKG_136,2023-04-05,Afternoon,Move-in/Move-out Cleaning,Emp_14,CUST_136,1,Friday,0,Summer,0,Cancelled,1,0,One-time
BKG_137,2023-08-04,Morning,Post-Event Cleaning,Emp_11,CUST_137,1,Thursday,1,Fall,0,Cancelled,1,0,Recurring
BKG_138,2023-12-14,Morning,Standard Cleaning,Emp_1,CUST_138,1,Friday,0,Fall,0,Cancelled,0,0,Recurring
BKG_139,2023-01-06,Afternoon,Move-in/Move-out Cleaning,Emp_12,CUST_139,3,Thursday,1,Summer,1,Confirmed,1,0,Recurring
BKG_140,2023-07-28,Afternoon,Deep Cleaning,Emp_1,CUST_140,1,Tuesday,0,Spring,0,Confirmed,1,0,Recurring
BKG_141,2023-03-28,Morning,Deep Cleaning,Emp_20,CUST_141,4,Friday,1,Spring,0,Cancelled,0,0,Recurring
BKG_142,2023-01-31,Afternoon,Post-Event Cleaning,Emp_14,CUST_142,1,Friday,1,Winter,0,Cancelled,1,0,One-time
BKG_143,2023-05-19,Afternoon,Move-in/Move-out Cleaning,Emp_9,CUST_143,4,Friday,0,Fall,0,Confirmed,0,0,One-time
BKG_144,2023-03-27,Afternoon,Standard Cleaning,Emp_11,CUST_144,4,Tuesday,1,Winter,0,Confirmed,1,0,Recurring
BKG_145,2023-09-08,Evening,Post-Event Cleaning,Emp_20,CUST_145,4,Sunday,1,Winter,0,Cancelled,1,0,One-time
BKG_146,2023-11-01,Evening,Standard Cleaning,Emp_11,CUST_146,3,Sunday,1,Winter,1,Cancelled,1,0,Recurring
BKG_147,2023-02-26,Morning,Deep Cleaning,Emp_11,CUST_147,3,Tuesday,1,Summer,1,Confirmed,1,0,One-time
BKG_148,2023-04-16,Morning,Standard Cleaning,Emp_5,CUST_148,3,Thursday,1,Spring,1,Cancelled,1,0,Recurring
BKG_149,2023-06-23,Afternoon,Standard Cleaning,Emp_6,CUST_149,1,Monday,1,Spring,1,Cancelled,1,0,One-time
BKG_150,2023-06-14,Evening,Post-Event Cleaning,Emp_8,CUST_150,4,Wednesday,0,Summer,0,Confirmed,1,0,Recurring
BKG_151,2023-11-01,Afternoon,Deep Cleaning,Emp_3,CUST_151,3,Thursday,0,Winter,1,Cancelled,0,0,One-time
BKG_152,2023-08-03,Morning,Move-in/Move-out Cleaning,Emp_19,CUST_152,3,Sunday,1,Fall,0,Cancelled,1,0,Recurring
BKG_153,2023-03-17,Morning,Standard Cleaning,Emp_19,CUST_153,1,Wednesday,1,Spring,0,Confirmed,0,0,One-time
BKG_154,2024-01-01,Morning,Deep Cleaning,Emp_12,CUST_154,3,Friday,0,Summer,1,Confirmed,1,0,One-time
BKG_155,2023-03-19,Afternoon,Post-Event Cleaning,Emp_15,CUST_155,1,Sunday,1,Winter,1,Cancelled,1,0,Recurring
BKG_156,2023-07-07,Morning,Standard Cleaning,Emp_20,CUST_156,2,Monday,1,Summer,1,Confirmed,1,0,One-time
BKG_157,2023-06-11,Evening,Post-Event Cleaning,Emp_9,CUST_157,3,Wednesday,0,Spring,1,Cancelled,0,0,Recurring
BKG_158,2023-05-28,Afternoon,Standard Cleaning,Emp_9,CUST_158,2,Friday,1,Winter,1,Confirmed,0,0,One-time
BKG_159,2023-09-17,Evening,Standard Cleaning,Emp_17,CUST_159,1,Friday,1,Summer,1,Confirmed,1,0,Recurring
BKG_160,2023-06-22,Afternoon,Move-in/Move-out Cleaning,Emp_6,CUST_160,4,Thursday,1,Winter,0,Confirmed,0,0,One-time
BKG_161,2023-06-25,Afternoon,Deep Cleaning,Emp_16,CUST_161,3,Saturday,0,Fall,0,Cancelled,1,0,Recurring
BKG_162,2023-11-21,Afternoon,Move-in/Move-out Cleaning,Emp_13,CUST_162,1,Monday,1,Winter,0,Cancelled,0,0,One-time
BKG_163,2023-05-31,Morning,Standard Cleaning,Emp_5,CUST_163,4,Wednesday,0,Winter,1,Cancelled,1,0,One-time
BKG_164,2023-02-19,Afternoon,Standard Cleaning,Emp_13,CUST_164,4,Wednesday,0,Summer,0,Confirmed,1,0,One-time
BKG_165,2023-08-03,Morning,Move-in/Move-out Cleaning,Emp_8,CUST_165,2,Saturday,1,Summer,0,Cancelled,1,0,One-time
BKG_166,2023-12-21,Morning,Post-Event Cleaning,Emp_4,CUST_166,1,Sunday,0,Winter,0,Confirmed,1,0,Recurring
BKG_167,2023-05-03,Morning,Post-Event Cleaning,Emp_4,CUST_167,4,Wednesday,0,Fall,0,Cancelled,0,0,Recurring
BKG_168,2023-03-08,Morning,Deep Cleaning,Emp_2,CUST_168,3,Wednesday,0,Winter,0,Confirmed,0,0,One-time
BKG_169,2023-09-25,Evening,Deep Cleaning,Emp_10,CUST_169,3,Friday,0,Spring,0,Confirmed,1,0,One-time
BKG_170,2023-10-25,Morning,Deep Cleaning,Emp_1,CUST_170,2,Sunday,0,Winter,0,Cancelled,0,0,One-time
BKG_171,2023-04-05,Afternoon,Move-in/Move-out Cleaning,Emp_15,CUST_171,4,Friday,0,Winter,0,Cancelled,1,0,Recurring
BKG_172,2023-07-19,Morning,Deep Cleaning,Emp_4,CUST_172,1,Monday,0,Fall,1,Confirmed,0,0,Recurring
BKG_173,2023-04-12,Afternoon,Move-in/Move-out Cleaning,Emp_8,CUST_173,3,Monday,0,Spring,0,Cancelled,1,0,One-time
BKG_174,2023-03-10,Afternoon,Move-in/Move-out Cleaning,Emp_12,CUST_174,4,Wednesday,1,Fall,1,Cancelled,1,0,One-time
BKG_175,2023-09-08,Afternoon,Deep Cleaning,Emp_7,CUST_175,4,Tuesday,1,Winter,1,Confirmed,1,0,One-time
BKG_176,2023-04-07,Afternoon,Post-Event Cleaning,Emp_16,CUST_176,2,Thursday,0,Summer,0,Confirmed,1,0,One-time
BKG_177,2023-08-11,Afternoon,Deep Cleaning,Emp_14,CUST_177,3,Sunday,0,Winter,1,Confirmed,1,0,Recurring
BKG_178,2023-02-24,Evening,Post-Event Cleaning,Emp_17,CUST_178,3,Wednesday,0,Summer,1,Cancelled,0,0,One-time
BKG_179,2023-10-17,Morning,Move-in/Move-out Cleaning,Emp_10,CUST_179,1,Sunday,1,Fall,1,Confirmed,1,0,One-time
BKG_180,2023-05-05,Afternoon,Deep Cleaning,Emp_5,CUST_180,3,Wednesday,1,Spring,0,Cancelled,1,0,Recurring
BKG_181,2023-03-11,Evening,Deep Cleaning,Emp_1,CUST_181,1,Friday,1,Fall,1,Cancelled,1,0,One-time
BKG_182,2023-01-12,Afternoon,Standard Cleaning,Emp_15,CUST_182,3,Saturday,1,Summer,0,Confirmed,0,0,One-time
BKG_183,2023-11-17,Afternoon,Deep Cleaning,Emp_12,CUST_183,2,Tuesday,0,Winter,0,Cancelled,0,0,One-time
BKG_184,2023-08-08,Afternoon,Post-Event Cleaning,Emp_10,CUST_184,3,Wednesday,0,Spring,0,Cancelled,0,0,Recurring
BKG_185,2023-02-26,Morning,Move-in/Move-out Cleaning,Emp_1,CUST_185,1,Saturday,1,Summer,1,Cancelled,1,0,Recurring
BKG_186,2023-07-08,Evening,Post-Event Cleaning,Emp_18,CUST_186,1,Friday,1,Spring,1,Confirmed,0,0,One-time
BKG_187,2023-07-23,Morning,Move-in/Move-out Cleaning,Emp_15,CUST_187,2,Thursday,0,Fall,0,Confirmed,0,0,Recurring
BKG_188,2023-04-25,Evening,Standard Cleaning,Emp_14,CUST_188,3,Monday,0,Fall,0,Confirmed,0,0,One-time
BKG_189,2024-01-01,Evening,Move-in/Move-out Cleaning,Emp_20,CUST_189,3,Tuesday,1,Winter,0,Cancelled,0,0,One-time
BKG_190,2023-06-01,Morning,Deep Cleaning,Emp_11,CUST_190,2,Wednesday,0,Fall,0,Confirmed,0,0,Recurring
BKG_191,2023-04-24,Evening,Post-Event Cleaning,Emp_7,CUST_191,3,Wednesday,1,Fall,0,Cancelled,1,0,One-time
BKG_192,2023-06-25,Afternoon,Post-Event Cleaning,Emp_12,CUST_192,3,Monday,0,Fall,0,Confirmed,1,0,Recurring
BKG_193,2023-07-01,Evening,Post-Event Cleaning,Emp_7,CUST_193,1,Tuesday,1,Winter,1,Cancelled,0,0,Recurring
BKG_194,2023-05-20,Morning,Move-in/Move-out Cleaning,Emp_4,CUST_194,3,Sunday,1,Fall,0,Confirmed,1,0,Recurring
BKG_195,2023-11-22,Afternoon,Post-Event Cleaning,Emp_5,CUST_195,3,Saturday,0,Spring,0,Confirmed,1,0,One-time
BKG_196,2023-05-27,Morning,Post-Event Cleaning,Emp_2,CUST_196,2,Tuesday,0,Winter,0,Cancelled,1,0,Recurring
